店铺名称,店铺链接,商品名,价格,销量
三星官方旗舰店,//detail.tmall.com/item.htm?id=587634209193&skuId=4480191679171&areaId=410500&standard=1&user_id=370627083&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,Samsung/三星GalaxyS10SM-G9730超感观全视屏、超声波屏下指纹,4299.00,1749
荣耀官方旗舰店,//detail.tmall.com/item.htm?id=598079959720&skuId=4480708178238&areaId=410500&standard=1&user_id=1114511827&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,honor/荣耀荣耀9x,1299.00,140000.0
三星官方旗舰店,//detail.tmall.com/item.htm?id=587770474543&skuId=4313218293375&areaId=410500&standard=1&user_id=370627083&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,Samsung/三星GalaxyS10+SM-G9750超感观全视屏、超声波屏下指纹,5099.00,1139
华为官方旗舰店,//detail.tmall.com/item.htm?id=601249956166&skuId=4380116898231&areaId=410500&standard=1&user_id=2838892713&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,HUAWEI华为畅享10plus,1249.00,55000.0
vivo官方旗舰店,//detail.tmall.com/item.htm?id=604849700751&skuId=4488173891373&areaId=410500&standard=1&user_id=883737303&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,vivoiQOONeo855,2298.00,22000.0
OPPO官方旗舰店,//detail.tmall.com/item.htm?id=603070922282&skuId=4420793127771&areaId=410500&standard=1&user_id=901409638&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,OPPOK5,1899.00,30000.0
vivo官方旗舰店,//detail.tmall.com/item.htm?id=599251658651&skuId=4330028301107&areaId=410500&standard=1&user_id=883737303&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,vivoZ5,1798.00,30000.0
荣耀官方旗舰店,//detail.tmall.com/item.htm?id=594834276618&skuId=4487745314467&areaId=410500&standard=1&user_id=1114511827&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,honor/荣耀荣耀20pro,2299.00,34000.0
小米官方旗舰店,//detail.tmall.com/item.htm?id=598173320467&skuId=4212262553184&areaId=410500&standard=1&user_id=1714128138&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,Xiaomi/小米RedmiNote8Pro,1199.00,57000.0
翼天下天翼电信旗舰店,//detail.tmall.com/item.htm?id=577485989656&skuId=3814062988261&areaId=410500&standard=1&user_id=751075004&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,Apple/苹果iPhoneXSMax配备A12仿生芯片.支持双卡,5799.00,4128
中国移动官方旗舰店,//detail.tmall.com/item.htm?id=577456372778&skuId=4380370911134&areaId=410500&standard=1&user_id=1776456424&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,Apple/苹果iPhoneXS,5358.00,375
京合旗舰店,//detail.tmall.com/item.htm?id=605943470549&skuId=4320470601348&areaId=410500&standard=1&user_id=2088045547&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,HUAWEI华为畅享10,899.00,55000.0
OPPO官方旗舰店,//detail.tmall.com/item.htm?id=602613660417&skuId=4405281055077&areaId=410500&standard=1&user_id=901409638&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,OPPORenoAce,3199.00,9682
四川移动官方旗舰店,//detail.tmall.com/item.htm?id=608151421319&skuId=4445982995478&areaId=410500&standard=1&user_id=1902393607&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,Apple/苹果AppleiPhone11,5650.00,2717
中国移动官方旗舰店,//detail.tmall.com/item.htm?id=580273092631&skuId=4502543035131&areaId=410500&standard=1&user_id=1776456424&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,Apple/苹果iPhoneXR,4598.00,12000.0
京合旗舰店,//detail.tmall.com/item.htm?id=596753542423&skuId=4498925723829&areaId=410500&standard=1&user_id=2088045547&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,HUAWEInova5Pro,2599.00,54000.0
vivo天诚专卖店,//detail.tmall.com/item.htm?id=602618770018&skuId=4487701210531&areaId=410500&standard=1&user_id=697028616&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,vivoNEX35G即将上市加购抽NEX3手机,5298.00,458
信息港数码专营店,//detail.tmall.com/item.htm?id=606209656084&skuId=4424188959782&areaId=410500&standard=1&user_id=2201438992231&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,Xiaomi/小米RedmiK20Pro尊享版骁龙855Plus处理器大容量大内存,3099.00,682
博海宇通数码专营店,//detail.tmall.com/item.htm?id=583757936542&skuId=3939268509009&areaId=410500&standard=1&user_id=1963544026&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,HUAWEI畅享96.26英寸珍珠屏AI长续航,848.00,10000.0
连盛数码专营店,//detail.tmall.com/item.htm?id=607390476199&skuId=4268653473895&areaId=410500&standard=1&user_id=2201415337596&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,Xiaomi/小米小米9,3058.00,620
久汇数码专营店,//detail.tmall.com/item.htm?id=595788307031&skuId=4439198042829&areaId=410500&standard=1&user_id=1659902905&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,HUAWEI华为畅享9e,769.00,21000.0
三际数码官方旗舰店,//detail.tmall.com/item.htm?id=576304458649&skuId=4327212026523&areaId=410500&standard=1&user_id=268451883&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,honor/荣耀荣耀8X,1349.00,3306
三际数码官方旗舰店,//detail.tmall.com/item.htm?id=606494648799&skuId=4429656914015&areaId=410500&standard=1&user_id=268451883&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,Xiaomi/小米小米CC9PRO,2599.00,3064
柔宇数码旗舰店,//detail.tmall.com/item.htm?id=589418068757&skuId=4235193641485&areaId=410500&user_id=2986639056&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,柔宇柔派折叠屏手机首款消费者级别可折叠柔性屏手机,9998.00,139
旭翼数码专营店,//detail.tmall.com/item.htm?id=601269106462&skuId=4401892134050&areaId=410500&standard=1&user_id=682299517&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,HUAWEIHUAWEIMate20X(5G)5G.大屏,4099.00,288
晋商数码专营店,//detail.tmall.com/item.htm?id=576793268677&skuId=4333522073225&areaId=410500&standard=1&user_id=210910611&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,honor/荣耀荣耀8XMAX,1199.00,1741
一加创华威专卖店,//detail.tmall.com/item.htm?id=605477484596&skuId=4246808537686&areaId=410500&standard=1&user_id=2432146763&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,OnePlus/一加HD1900,3199.00,3474
深蓝港数码旗舰店,//detail.tmall.com/item.htm?id=588744988537&skuId=4034648040125&areaId=410500&standard=1&user_id=2215302589&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,HUAWEInova4e3200万立体美颜.让本色更出色,1799.00,5630
vivo衡视专卖店,//detail.tmall.com/item.htm?id=609317899740&skuId=4461336355528&areaId=410500&standard=1&user_id=2074230553&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,vivoX30,3298.00,12000.0
和来达数码专营店,//detail.tmall.com/item.htm?id=597343975159&skuId=4324592971297&areaId=410500&standard=1&user_id=1730436394&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,HUAWEI畅享9PLUS6.5英寸全面屏1600万四摄,849.00,16000.0
魅族官方旗舰店,//detail.tmall.com/item.htm?id=606547898634&skuId=4479628590028&areaId=410500&standard=1&user_id=1695308781&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,Meizu/魅族16T,2299.00,7081
创汇通达数码旗舰店,//detail.tmall.com/item.htm?id=601378225099&skuId=4379130179886&areaId=410500&standard=1&user_id=3063905773&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,Xiaomi/小米小米CC9E,1399.00,1588
realme官方旗舰店,//detail.tmall.com/item.htm?id=602774989212&skuId=4248406504946&areaId=410500&standard=1&user_id=2200766936524&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,realmeX2,1799.00,6704
realme官方旗舰店,//detail.tmall.com/item.htm?id=601755994066&skuId=4420306794239&areaId=410500&standard=1&user_id=2200766936524&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,realmeQ,1098.00,8101
深蓝港数码旗舰店,//detail.tmall.com/item.htm?id=599288641834&skuId=4184093553625&areaId=410500&standard=1&user_id=2215302589&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,honor/荣耀荣耀9XPRO,1999.00,9412
旭翼数码专营店,//detail.tmall.com/item.htm?id=600043598807&skuId=4188157928191&areaId=410500&standard=1&user_id=682299517&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,Huawei/华为Mate20X7.2英寸大屏5000mAh大电池,3279.00,335
创汇通达数码旗舰店,//detail.tmall.com/item.htm?id=598805635561&skuId=4172874825063&areaId=410500&standard=1&user_id=3063905773&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,HUAWEInova5,1899.00,618
美图旗舰店,//detail.tmall.com/item.htm?id=569966140756&skuId=4263071097538&areaId=410500&standard=1&user_id=1811831780&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,Meitu/美图T9我的智能摄影师,999.00,2935
民讯通数码专营店,//detail.tmall.com/item.htm?id=599010449090&skuId=4177120048639&areaId=410500&standard=1&user_id=292642853&cat_id=2&is_b=1&rn=8213e427a3edf12d5ccb36fb080ba499,Xiaomi/小米黑鲨游戏手机2骁龙855塔式全域液冷散热,2499.00,1689
